,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
1692,Vojtová Romana,,48,Česká str.sociálně demokrat.,ČSSD,ČSSD,20,1095,2.21,17,0,2014
1693,Vojtová Romana Mgr.,Mgr.,28,Česká str.sociálně demokrat.,ČSSD,ČSSD,24,1069,2.16,21,0,2014
1694,Vomáčka Pavel Ing.,Ing.,55,Sdružení Mostečané Mostu,NK,BEZPP,17,2934,2.23,7,0,2014
1695,Vosková Jana,,50,"SZ, NK za Most",NK,BEZPP,9,604,2.21,0,0,2014
1696,Vozka Petr,,48,DSSS-volím budouc.našich dětí,DSSS,DSSS,3,371,2.71,0,0,2014
1697,Vozka Vlastimil Ing.,Ing.,60,Severočeši Most,NK,BEZPP,1,6038,2.64,2,1,2014
1698,Vydra František,,33,DSSS-volím budouc.našich dětí,NF,BEZPP,44,264,1.92,0,0,2014
1699,Vyšín Jakub,,24,Komunistická str.Čech a Moravy,KSČM,KSČM,36,1592,2.14,31,0,2014
1700,Wagnerová Kristýna,,23,Toryové,TOR,BEZPP,43,185,1.9000000000000001,0,0,2014
1701,Walter Tomáš,,30,Toryové,TOR,BEZPP,36,175,1.79,0,0,2014
1702,Walterová Věra,,35,Toryové,TOR,BEZPP,23,180,1.85,0,0,2014
1703,Wanie Patrik,,26,Komunistická str.Čech a Moravy,KSČM,BEZPP,34,1597,2.15,29,0,2014
1704,Weberová Eva,,36,"SZ, NK za Most",NK,BEZPP,22,572,2.1,0,0,2014
1705,Winklerová Eva Ing.,Ing.,53,OR s podp.Inic.za MHD zdarma,Hora 2014,BEZPP,15,450,2.29,0,0,2014
1706,Woznica Stanislav Ing.,Ing.,45,"SZ, NK za Most",NK,BEZPP,18,628,2.3000000000000003,0,0,2014
1707,Woznica Vlastimil MUDr.,MUDr.,48,Severočeši Most,NK,BEZPP,9,5406,2.36,9,1,2014
1708,Woznicová Veronika,,20,"SZ, NK za Most",Zelení,BEZPP,34,565,2.07,0,0,2014
1709,Zabloudilová Mária,,66,Komunistická str.Čech a Moravy,KSČM,KSČM,42,1485,2.0,37,0,2014
1710,Zahradníček Václav Ing.,Ing.,47,Severočeši Most,NK,BEZPP,22,5051,2.2,4,0,2014
1711,Zajíčková Jana,,48,Toryové,TOR,BEZPP,32,174,1.78,0,0,2014
1712,Zalková Nikola Bc.,Bc.,24,"SZ, NK za Most",NK,BEZPP,31,568,2.08,0,0,2014
1713,Zámostný Jan,,36,Česká str.sociálně demokrat.,ČSSD,ČSSD,26,1042,2.11,23,0,2014
1714,Záruba Vladimír,,25,Občanská demokratická strana,ODS,BEZPP,16,778,2.05,13,0,2014
1715,Zeidelová Jaromíra,,64,Koalice TOP09 a KDU-ČSL,TOP 09,BEZPP,35,348,1.98,0,0,2014
1716,Zeiler Vilém,,41,ANO 2011,ANO,ANO,11,1870,2.2800000000000002,5,0,2014
1717,Zeleňáková Jiřina,,42,Mostečané Mostu,NK,BEZPP,12,38,27.330000000000002,0,0,2014
1718,Zelenka Jiří Ing.,Ing.,58,Severočeši Most,ProKraj,BEZPP,5,5552,2.42,6,1,2014
1719,Zudová Jana Ing.,Ing.,31,ANO 2011,ANO,BEZPP,4,1981,2.42,4,1,2014
1720,Žďánský Pavel Bc.,Bc.,24,ANO 2011,ANO,BEZPP,22,1819,2.22,16,0,2014
1721,Adámek Arnošt,,50,Česká str.sociálně demokrat.,ČSSD,ČSSD,18,492,2.18,0,0,2018
1722,Agh Alexandr,,56,ANO 2011,ANO,ANO,8,2606,2.33,8,1,2018
1723,Anderle Miloslav,,58,Sdružení Mostečané Mostu,NK,BEZPP,30,2404,2.16,22,0,2018
1724,Andrea Lukáš Bc. DiS.,Bc.,36,Česká str.sociálně demokrat.,ČSSD,ČSSD,12,516,2.29,0,0,2018
1725,Andreaová Jaroslava Alexandra JUDr.,JUDr.,66,Česká str.sociálně demokrat.,ČSSD,ČSSD,37,486,2.15,0,0,2018
1726,Antoš Roman,,55,Sdružení Mostečané Mostu,NK,BEZPP,24,2455,2.21,16,0,2018
1727,Arnoldová Věra,,52,Starost. a nezáv. s podp.Toryů,NK,BEZPP,32,183,1.82,0,0,2018
1728,Aulická Jírovcová Hana Ing.,Ing.,37,Komunistická str.Čech a Moravy,KSČM,KSČM,4,1694,3.08,1,1,2018
1729,Babouček Tomáš,,63,Otevřená radnice Most,Hora 2014,BEZPP,44,347,2.0300000000000002,0,0,2018
1730,Balín Jaroslav,,71,Komunistická str.Čech a Moravy,KSČM,KSČM,39,1155,2.1,35,0,2018
1731,Balín Vlastimil RSDr.,RSDr.,67,"Občané městu, město občanům",OMMO,OMMO,1,252,7.98,0,0,2018
1732,Bártl Vladimír Ing. MBA,Ing.,57,Občanská demokratická strana,ODS,ODS,29,1251,2.14,25,0,2018
1733,Bartlová Olga,,48,ANO 2011,ANO,ANO,11,2571,2.3000000000000003,2,0,2018
1734,Bažant Martin Mgr.,Mgr.,42,Piráti a Zelení pro Most,Zelení,Zelení,24,1369,2.25,20,0,2018
1735,Bednařík Lukáš Ing.,Ing.,39,ProMOST,ProMOST,ProMOST,17,4440,2.23,1,0,2018
1736,Bejbl Roman,,55,Otevřená radnice Most,Hora 2014,BEZPP,15,382,2.23,0,0,2018
