,Jméno,Titul,Věk,Strana,Navrhující_strana,Politická_příslušnost,Číslo_na_kandidátce,Hlasy_počet,Hlasy_procenta,Pořadí_zvolení_náhradníka,Mandát,Rok_kandidatury
525,Kačmariková Lenka Bc.,Bc.,22,Strana zelených,SZ,BEZPP,22,867,2.16,0,0,2006
526,Kadlec Igor,,52,Sdružení Mostečané Mostu,NK,BEZPP,29,6151,2.2,11,0,2006
527,Kadlecová Ludmila,,52,České hnutí za národní jednotu,ČHNJ,BEZPP,5,51,6.87,0,0,2006
528,Kalkus Petr,,61,Česká str.sociálně demokrat.,ČSSD,ČSSD,12,2240,2.33,6,0,2006
529,Kamenský Rastislav,,64,Komunistická str.Čech a Moravy,KSČM,KSČM,40,2712,2.09,32,0,2006
530,Karel Vladimír,,37,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,21,106,1.84,0,0,2006
531,Karfík David,,21,Občanská demokratická strana,ODS,ODS,28,3652,2.23,17,0,2006
532,Kejřová Anna Ing.,Ing.,40,Občanská demokratická strana,ODS,ODS,40,3548,2.17,28,0,2006
533,Klas Luboš,,42,Česká str.sociálně demokrat.,ČSSD,ČSSD,42,2037,2.12,34,0,2006
534,Klepiš Petr MUDr.,MUDr.,37,Strana zelených,SZ,SZ,12,1146,2.86,0,0,2006
535,Klepišová Kateřina MUDr.,MUDr.,36,Strana zelených,SZ,BEZPP,2,1403,3.5,0,0,2006
536,Klíma Petr Ing.,Ing.,49,Sdružení Mostečané Mostu,NK,BEZPP,31,6146,2.2,13,0,2006
537,Kňákal Karel,,82,Česká str.sociálně demokrat.,ČSSD,ČSSD,20,2195,2.29,13,0,2006
538,Kočí Vratislav,,52,České hnutí za národní jednotu,ČHNJ,BEZPP,6,38,5.12,0,0,2006
539,Köhler Oto Ing.,Ing.,48,VOLBA PRO MOST,VPM,US-DEU,21,649,1.85,0,0,2006
540,Köhlerová Martina,,35,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,22,112,1.95,0,0,2006
541,Koláček Slavomír,,47,Česká str.sociálně demokrat.,ČSSD,ČSSD,11,2297,2.39,5,0,2006
542,Koleszárová Pegy,,34,Sdružení Mostečané Mostu,SOS,BEZPP,20,6199,2.22,2,0,2006
543,Komínek Renné Ing.,Ing.,40,Občanská demokratická strana,ODS,ODS,11,3827,2.34,3,0,2006
544,Končel Petr MUDr.,MUDr.,48,Strana zelených,SZ,SZ,5,1360,3.39,0,0,2006
545,Kondrová Irena,,51,Komunistická str.Čech a Moravy,KSČM,KSČM,33,2823,2.18,25,0,2006
546,Konečná Lenka,,54,VOLBA PRO MOST,NK,BEZPP,11,794,2.27,0,0,2006
547,Konečný Milan Ing.,Ing.,56,Sdružení pro sport a zdraví,SSZ,SSZ,4,1117,3.49,0,0,2006
548,Koranda Jiří Ing.,Ing.,48,Sdružení Mostečané Mostu,NK,BEZPP,13,6325,2.27,13,1,2006
549,Kosejk Jiří,,47,Občanská demokratická strana,ODS,ODS,20,3667,2.24,10,0,2006
550,Košťálová Zdeňka,,52,Komunistická str.Čech a Moravy,KSČM,KSČM,22,2854,2.2,14,0,2006
551,Kotiš Ladislav,,25,Občanská demokratická strana,ODS,ODS,41,3350,2.05,29,0,2006
552,Kotlan Roman,,42,Česká str.sociálně demokrat.,ČSSD,ČSSD,32,2195,2.29,24,0,2006
553,Koubínová Blanka,,23,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,28,98,1.7,0,0,2006
554,Kouda Pavel Ing.,Ing.,47,Česká str.sociálně demokrat.,ČSSD,ČSSD,1,2601,2.71,1,1,2006
555,Kousková Dana,,36,VOLBA PRO MOST,NK,BEZPP,28,659,1.8800000000000001,0,0,2006
556,Kout Jiří,,43,Česká str.sociálně demokrat.,ČSSD,ČSSD,23,2212,2.3000000000000003,16,0,2006
557,Koutský Jaroslav JUDr.,JUDr.,53,SNK Evropští demokraté,SNK ED,KDU-ČSL,17,1062,2.52,15,0,2006
558,Kováč Miroslav,,22,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,41,88,1.53,0,0,2006
559,Kovář Martin,,26,Česká str.sociálně demokrat.,ČSSD,ČSSD,22,2188,2.2800000000000002,15,0,2006
560,Kožnar Milan,,32,Sdružení pro sport a zdraví,SSZ,SSZ,25,648,2.02,0,0,2006
561,Krajíčková Jaroslava,,64,Sdružení Mostečané Mostu,NK,BEZPP,30,6091,2.18,12,0,2006
562,Král Roman,,35,Sdružení Mostečané Mostu,NK,BEZPP,24,6169,2.21,6,0,2006
563,Krhounek Jiří MUDr.,MUDr.,51,Občanská demokratická strana,ODS,ODS,26,3841,2.35,15,0,2006
564,Krištofík Vladimír,,43,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,26,98,1.7,0,0,2006
565,Krpálek Jan,,71,Sdružení Mostečané Mostu,NK,BEZPP,40,5890,2.11,22,0,2006
566,Kříva Josef,,23,České hnutí za národní jednotu,ČHNJ,BEZPP,8,41,5.5200000000000005,0,0,2006
567,Kříž David,,27,Sdružení pro sport a zdraví,SSZ,BEZPP,44,513,1.6,0,0,2006
568,Ksandrová Naděžda,,54,Komunistická str.Čech a Moravy,KSČM,KSČM,43,2629,2.0300000000000002,35,0,2006
569,Kubal Tomáš,,32,Občanská demokratická strana,ODS,ODS,6,3888,2.38,9,1,2006
570,Kubathová Ilona,,33,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,40,103,1.79,0,0,2006
571,Kubátová Miroslava,,38,Strana zelených,SZ,BEZPP,32,815,2.0300000000000002,0,0,2006
572,Kubík František,,48,Sdružení Mostečané Mostu,NK,BEZPP,42,5823,2.09,24,0,2006
573,Kudláčková Marcela,,50,Občanská demokratická strana,ODS,ODS,36,3524,2.16,24,0,2006
574,Kuna Jiří,,35,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,33,114,1.98,0,0,2006
575,Kunz Vilém Ing.,Ing.,32,SNK Evropští demokraté,SNK ED,BEZPP,11,1139,2.7,3,0,2006
576,Kurcin Jiří,,57,Komunistická str.Čech a Moravy,KSČM,KSČM,2,3141,2.43,2,1,2006
577,Kurcin Radek,,33,Komunistická str.Čech a Moravy,KSČM,KSČM,7,2961,2.29,7,1,2006
578,Kuřinová Renata,,42,Strana zelených,SZ,BEZPP,39,765,1.9100000000000001,0,0,2006
579,Kusek Robert,,24,Česká str.sociálně demokrat.,ČSSD,ČSSD,37,2109,2.2,29,0,2006
580,Kuta Jiří,,33,VOLBA PRO MOST,VPM,VPM,16,644,1.84,0,0,2006
581,Kuželka Miroslav,,39,VOLBA PRO MOST,NK,BEZPP,30,929,2.65,0,0,2006
582,Lacina František,,46,SNK Evropští demokraté,SNK ED,SNK ED,26,893,2.11,23,0,2006
583,Lancová Helena Ing.,Ing.,52,Sdružení pro sport a zdraví,SSZ,SSZ,26,614,1.9100000000000001,0,0,2006
584,Laur Roman,,64,Komunistická str.Čech a Moravy,KSČM,KSČM,10,2931,2.2600000000000002,2,0,2006
585,Laurichová Monika Mgr.,Mgr.,38,VOLBA PRO MOST,NK,BEZPP,17,810,2.31,0,0,2006
586,Lehman Vladislav,,54,VOLBA PRO MOST,VPM,US-DEU,7,780,2.23,0,0,2006
587,Lehmanová Hana Mgr.,Mgr.,51,VOLBA PRO MOST,NK,BEZPP,31,680,1.94,0,0,2006
588,Levá Františka,,59,VOLBA PRO MOST,NK,BEZPP,2,1450,4.14,0,0,2006
589,Lhotáková Ivana,,42,VOLBA PRO MOST,NK,BEZPP,18,770,2.2,0,0,2006
590,Líbal Miroslav Ing.,Ing.,27,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,NEZ/DEM,8,135,2.35,0,0,2006
591,Libecajtová Lucie,,28,Sdružení Mostečané Mostu,SOS,BEZPP,23,6205,2.22,5,0,2006
592,Linetová Lenka,,31,SNK Evropští demokraté,SNK ED,BEZPP,41,772,1.83,37,0,2006
593,Linka Petr,,47,Česká str.sociálně demokrat.,ČSSD,ČSSD,36,2114,2.2,28,0,2006
594,Lískovcová Danuše,,41,VOLBA PRO MOST,NK,BEZPP,40,692,1.97,0,0,2006
595,Löfflerová Alena,,37,Česká str.sociálně demokrat.,ČSSD,ČSSD,8,2359,2.46,2,0,2006
596,Macurová Ludmila,,44,Česká str.sociálně demokrat.,ČSSD,ČSSD,19,2239,2.33,12,0,2006
597,Mádle Jaroslav,,27,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,27,109,1.9000000000000001,0,0,2006
598,Macho Jan Mgr.,Mgr.,46,Strana zelených,SZ,BEZPP,34,817,2.04,0,0,2006
599,Machulda Pavel,,33,Občanská demokratická strana,ODS,ODS,45,3048,1.86,33,0,2006
600,Malec Ladislav,,62,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,45,82,1.43,0,0,2006
601,Marel Zdeněk Ing.,Ing.,30,Česká str.sociálně demokrat.,ČSSD,ČSSD,45,1936,2.02,37,0,2006
602,Markopulosová Michaela,,36,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,14,134,2.33,0,0,2006
603,Maronyák Štefan Ing.,Ing.,48,Sdružení Mostečané Mostu,NK,BEZPP,6,6398,2.29,6,1,2006
604,Maršová Dana,,37,Občanská demokratická strana,ODS,ODS,34,3584,2.19,22,0,2006
605,Marušák Ladislav,,72,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,37,102,1.77,0,0,2006
606,Mašek Jan Ing.,Ing.,55,VOLBA PRO MOST,NK,BEZPP,20,767,2.19,0,0,2006
607,Mašek Vlastimil,,42,Komunistická str.Čech a Moravy,KSČM,KSČM,24,2870,2.22,16,0,2006
608,Matějka Pavel,,35,SNK Evropští demokraté,SNK ED,SNK ED,10,900,2.13,11,0,2006
609,Matějovský Tomáš,,43,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,NEZ/DEM,5,242,4.22,0,0,2006
610,Mazur Zdislav Ing.,Ing.,56,SNK Evropští demokraté,SNK ED,BEZPP,42,780,1.85,38,0,2006
611,Menclová Renata Mgr.,Mgr.,45,SNK Evropští demokraté,SNK ED,BEZPP,12,979,2.32,12,0,2006
612,Merganič Pavel,,36,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,20,122,2.12,0,0,2006
613,Měska Pavel,,55,Sdružení pro sport a zdraví,SSZ,SSZ,31,632,1.97,0,0,2006
614,Miksová Alena,,22,Občanská demokratická strana,ODS,ODS,35,3529,2.16,23,0,2006
615,Miškovský Petr,,25,Občanská demokratická strana,ODS,ODS,27,3614,2.21,16,0,2006
616,Morch Milan,,31,Česká str.sociálně demokrat.,ČSSD,ČSSD,27,2210,2.3000000000000003,20,0,2006
617,Mráz Jaroslav,,26,Strana zelených,SZ,BEZPP,31,803,2.0,0,0,2006
618,Mrázová Marie,,25,Strana zelených,SZ,BEZPP,43,693,1.73,0,0,2006
619,Mrkos Libor,,39,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,18,128,2.23,0,0,2006
620,Musilová Romana,,42,VOLBA PRO MOST,NK,BEZPP,23,733,2.09,0,0,2006
621,Myšička Ladislav MUDr.,MUDr.,59,Komunistická str.Čech a Moravy,KSČM,KSČM,34,2993,2.31,26,0,2006
622,Nedvěd Libor,,34,Strana zelených,SZ,BEZPP,26,833,2.08,0,0,2006
623,Nedvědová Zdeňka,,52,Občanská demokratická strana,ODS,ODS,43,3267,2.0,31,0,2006
624,Nechanický Pavel,,34,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,31,95,1.6500000000000001,0,0,2006
625,Nermuťová Martina,,35,Komunistická str.Čech a Moravy,KSČM,KSČM,44,2596,2.0,36,0,2006
626,Nesnídalová Ivana Mgr.,Mgr.,39,VOLBA PRO MOST,NK,BEZPP,14,752,2.15,0,0,2006
627,Nešporová Blanka,,46,Sdružení Mostečané Mostu,NK,BEZPP,16,6336,2.27,16,1,2006
628,Novák Jiří Ing.,Ing.,60,Komunistická str.Čech a Moravy,KSČM,KSČM,6,2948,2.2800000000000002,6,1,2006
629,Nováková Drahoslava,,52,Sdružení Mostečané Mostu,NK,BEZPP,41,5858,2.1,23,0,2006
630,Nováková Eva,,49,Strana zelených,SZ,BEZPP,23,875,2.18,0,0,2006
631,Novotný Karel Mgr.,Mgr.,40,Česká str.sociálně demokrat.,ČSSD,ČSSD,5,2391,2.49,6,1,2006
632,Novotný Martin,,31,SNK Evropští demokraté,SNK ED,BEZPP,33,826,1.96,29,0,2006
633,Novotný Vladimír Ing.,Ing.,34,SNK Evropští demokraté,SNK ED,BEZPP,8,1084,2.57,8,0,2006
634,Obrtlík Oldřich,,56,Sdružení pro sport a zdraví,SSZ,BEZPP,28,602,1.8800000000000001,0,0,2006
635,Olejník Miroslav,,46,České hnutí za národní jednotu,ČHNJ,ČHNJ,1,75,10.1,0,0,2006
636,Olejník Miroslav,,24,České hnutí za národní jednotu,ČHNJ,ČHNJ,3,52,7.0,0,0,2006
637,Ozaňák Jakub,,19,Občanská demokratická strana,ODS,ODS,25,3699,2.2600000000000002,14,0,2006
638,Paďourek Ivo Ing.,Ing.,57,Sdružení Mostečané Mostu,SOS,BEZPP,17,6273,2.25,17,1,2006
639,Paluska Petr,,42,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,23,132,2.3000000000000003,0,0,2006
640,Patera Miloslav,,36,Občanská demokratická strana,ODS,ODS,10,3758,2.3000000000000003,2,0,2006
641,Pavlovská Eva MUDr.,MUDr.,47,VOLBA PRO MOST,NK,BEZPP,10,1127,3.22,0,0,2006
642,Pavlovský Michal MUDr.,MUDr.,49,SNK Evropští demokraté,SNK ED,KDU-ČSL,23,1124,2.66,5,0,2006
643,Pechar Karel,,41,Česká str.sociálně demokrat.,ČSSD,ČSSD,18,2243,2.34,11,0,2006
644,Pelcman Miroslav Ing.,Ing.,49,SNK Evropští demokraté,SNK ED,BEZPP,4,1213,2.87,2,0,2006
645,Pergl Václav,,40,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,35,102,1.77,0,0,2006
646,Pergl Willi,,45,Sdružení Mostečané Mostu,NK,BEZPP,34,6061,2.17,16,0,2006
647,Peroutka Miroslav,,69,Sdružení Mostečané Mostu,NK,BEZPP,39,5969,2.14,21,0,2006
648,Peřina Stanislav Mgr.,Mgr.,44,Sdružení pro sport a zdraví,SSZ,BEZPP,35,677,2.11,0,0,2006
649,Pešek Radomír,,40,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,11,111,1.93,0,0,2006
650,Pětíková Petra DiS,,27,Strana zelených,SZ,BEZPP,8,966,2.41,0,0,2006
651,Piroš Vladimír,,57,Občanská demokratická strana,ODS,ODS,44,3144,1.92,32,0,2006
652,Pitín Luboš Ing.,Ing.,42,Sdružení Mostečané Mostu,NK,BEZPP,4,6548,2.35,4,1,2006
653,Plecháček Petr,,23,České hnutí za národní jednotu,ČHNJ,BEZPP,14,58,7.8100000000000005,0,0,2006
654,Pobuda Zdeněk,,49,Sdružení pro sport a zdraví,SSZ,SSZ,24,570,1.78,0,0,2006
655,Poláčková Renata,,31,České hnutí za národní jednotu,ČHNJ,BEZPP,7,73,9.83,0,0,2006
656,Poláková Eva,,45,Občanská demokratická strana,ODS,ODS,32,3632,2.22,21,0,2006
657,Polanský Luboš Ing. arch.,Ing.,34,Občanská demokratická strana,ODS,ODS,4,3875,2.37,7,1,2006
658,Poliček Pavel,,44,Sdružení pro sport a zdraví,SSZ,BEZPP,17,729,2.27,0,0,2006
659,Polívka Jiří,,54,Komunistická str.Čech a Moravy,KSČM,KSČM,14,2935,2.27,6,0,2006
660,Pomahač Jiří,,37,Občanská demokratická strana,ODS,ODS,9,3739,2.29,1,0,2006
661,Ponertová Jevgenija Ing.,Ing.,44,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,39,97,1.69,0,0,2006
662,Popelka Josef Ing.,Ing.,62,Komunistická str.Čech a Moravy,KSČM,KSČM,35,2764,2.13,27,0,2006
663,Porada Vladimír,,40,Komunistická str.Čech a Moravy,KSČM,KSČM,42,2681,2.07,34,0,2006
664,Potůček Jaroslav,,59,Sdružení Mostečané Mostu,SOS,BEZPP,45,5551,1.99,27,0,2006
665,Pracný Petr,,39,Komunistická str.Čech a Moravy,KSČM,KSČM,12,2896,2.24,4,0,2006
666,Prášil Slavomír,,46,Strana zelených,SZ,SZ,10,907,2.2600000000000002,0,0,2006
667,Prášil Václav,,20,Strana zelených,SZ,BEZPP,29,825,2.06,0,0,2006
668,Procházková Jitka,,41,Strana zelených,SZ,SZ,11,899,2.24,0,0,2006
669,Procházková Marcela Mgr.,Mgr.,57,Strana zelených,SZ,SZ,6,970,2.42,0,0,2006
670,Prokop Vladimír MUDr.,MUDr.,42,Strana zelených,SZ,BEZPP,44,870,2.17,0,0,2006
671,Prošková Dagmar Ing.,Ing.,42,SNK Evropští demokraté,SNK ED,BEZPP,9,1100,2.61,6,0,2006
672,Průcha Otta Ing.,Ing.,53,Sdružení Mostečané Mostu,NK,BEZPP,11,6291,2.25,11,1,2006
673,Přibyl František,,54,Sdružení Mostečané Mostu,SOS,BEZPP,35,6040,2.16,17,0,2006
674,Radba Jan,,34,Sdružení pro sport a zdraví,SSZ,BEZPP,36,523,1.6300000000000001,0,0,2006
675,Radba Vladimír Ing.,Ing.,33,Sdružení pro sport a zdraví,SSZ,BEZPP,15,574,1.79,0,0,2006
676,Radvanovský Milan,,45,Sdružení pro sport a zdraví,SSZ,BEZPP,30,599,1.87,0,0,2006
677,Rais Jaroslav Ing.,Ing.,48,SNK Evropští demokraté,SNK ED,BEZPP,31,896,2.12,27,0,2006
678,Reháková Zdeňka Ing.,Ing.,46,Občanská demokratická strana,ODS,ODS,42,3365,2.06,30,0,2006
679,Rejzková Blanka,,57,Komunistická str.Čech a Moravy,KSČM,KSČM,18,2892,2.23,10,0,2006
680,Rešová Venuše,,22,SNK Evropští demokraté,SNK ED,SNK ED,27,910,2.15,24,0,2006
681,Roháč Marek,,39,VOLBA PRO MOST,VPM,VPM,13,656,1.87,0,0,2006
682,Rohanová Markéta,,30,VOLBA PRO MOST,VPM,VPM,29,652,1.86,0,0,2006
683,Růžička Luboš,,41,VOLBA PRO MOST,NK,BEZPP,27,909,2.6,0,0,2006
684,Rychlý Leo MUDr.,MUDr.,59,SNK Evropští demokraté,SNK ED,BEZPP,30,1095,2.59,7,0,2006
685,Řehák Zdeněk Ing.,Ing.,73,Sdružení Mostečané Mostu,NK,BEZPP,22,6184,2.22,4,0,2006
686,Sajdl Antonín,,53,SNK Evropští demokraté,SNK ED,BEZPP,15,903,2.14,13,0,2006
687,Sehnerová Jolana,,68,České hnutí za národní jednotu,ČHNJ,BEZPP,10,33,4.44,0,0,2006
688,Schwarz Martin,,34,VOLBA PRO MOST,NK,BEZPP,39,568,1.62,0,0,2006
689,Sigmund Adolf,,45,Česká str.sociálně demokrat.,ČSSD,ČSSD,6,2473,2.58,2,1,2006
690,Sigmund Roman,,30,Česká str.sociálně demokrat.,ČSSD,ČSSD,25,2204,2.3000000000000003,18,0,2006
691,Sichrovská Ilona,,47,SNK Evropští demokraté,SNK ED,SNK ED,32,820,1.94,28,0,2006
692,Siřiště Petr,,29,Česká str.sociálně demokrat.,ČSSD,ČSSD,24,2198,2.29,17,0,2006
693,Skála Tomáš Bc.,Bc.,23,Strana zelených,SZ,BEZPP,17,858,2.14,0,0,2006
694,Skoumal Milan,,41,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,25,102,1.77,0,0,2006
695,Smetana Tomáš,,30,Strana zelených,SZ,SZ,4,1018,2.54,0,0,2006
696,Smolík Josef Ing.,Ing.,38,Občanská demokratická strana,ODS,ODS,22,3783,2.31,12,0,2006
697,Sobotková Marie,,34,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,30,109,1.9000000000000001,0,0,2006
698,Sochor Marek,,35,SNK Evropští demokraté,SNK ED,BEZPP,36,828,1.96,32,0,2006
699,Soldan Daniel,,26,Česká str.sociálně demokrat.,ČSSD,ČSSD,40,2067,2.15,32,0,2006
700,Sotová Jitka,,41,Strana zelených,SZ,BEZPP,25,823,2.05,0,0,2006
701,Soukup Martin,,35,SNK Evropští demokraté,SNK ED,BEZPP,16,889,2.1,14,0,2006
702,Spilková Jana,,31,VOLBA PRO MOST,NK,BEZPP,44,544,1.55,0,0,2006
703,Steiner Leo Mgr.,Mgr.,35,SNK Evropští demokraté,SNK ED,KDU-ČSL,19,994,2.35,17,0,2006
704,Strakoš Martin Ing.,Ing.,37,Česká str.sociálně demokrat.,ČSSD,ČSSD,3,2472,2.57,3,1,2006
705,Strejc Tomáš,,33,Občanská demokratická strana,ODS,ODS,19,3651,2.23,9,0,2006
706,Suchý Josef,,56,Strana zelených,SZ,SZ,7,892,2.22,0,0,2006
707,Suchý Vítězslav Ing.,Ing.,64,Komunistická str.Čech a Moravy,KSČM,KSČM,11,2906,2.24,3,0,2006
708,Svatoň Pavel MUDr.,MUDr.,59,Sdružení pro sport a zdraví,SSZ,BEZPP,6,1136,3.5500000000000003,0,0,2006
709,Svitavský Jan Ing.,Ing.,47,Sdružení pro sport a zdraví,SSZ,SSZ,21,637,1.99,0,0,2006
710,Syrový Jan,,35,Sdružení Mostečané Mostu,NK,BEZPP,7,6339,2.27,7,1,2006
711,Šabková Ivana Mgr.,Mgr.,49,Sdružení pro sport a zdraví,SSZ,SSZ,13,677,2.11,0,0,2006
712,Šára Stanislav Bc.,Bc.,26,Občanská demokratická strana,ODS,ODS,30,3594,2.2,19,0,2006
713,Šebek Michal,,33,SNK Evropští demokraté,SNK ED,BEZPP,37,811,1.92,33,0,2006
714,Šebl Jan,,42,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,32,99,1.72,0,0,2006
715,Šebl Jan,,20,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,36,112,1.95,0,0,2006
716,Šestáková Miloslava,,40,Sdružení pro sport a zdraví,SSZ,BEZPP,34,594,1.85,0,0,2006
717,Ševčík Alois,,51,Česká str.sociálně demokrat.,ČSSD,ČSSD,21,2210,2.3000000000000003,14,0,2006
718,Ševčík Arnošt,,49,Sdružení Mostečané Mostu,NK,KSČM,9,6406,2.3000000000000003,9,1,2006
719,Ševčíková Martina,,33,Česká str.sociálně demokrat.,ČSSD,ČSSD,43,2032,2.12,35,0,2006
720,Šikl Josef,,69,SNK Evropští demokraté,SNK ED,BEZPP,34,942,2.23,30,0,2006
721,Šimečková Monika MUDr.,MUDr.,44,Strana zelených,SZ,BEZPP,16,1010,2.52,0,0,2006
722,Šimůnková Kateřina,,18,Strana zelených,SZ,BEZPP,27,826,2.06,0,0,2006
723,Šindler Jaroslav,,29,SNK Evropští demokraté,SNK ED,BEZPP,21,912,2.16,19,0,2006
724,Škrábal Jiří Mgr.,Mgr.,52,Občanská demokratická strana,ODS,ODS,15,3764,2.3000000000000003,5,0,2006
725,Škriečka Martin,,23,Národní strana,NS,BEZPP,1,120,100.0,0,0,2006
726,Šlajchrt Vítězslav,,43,Strana zelených,SZ,BEZPP,41,730,1.82,0,0,2006
727,Šlechta Pavel,,59,České hnutí za národní jednotu,ČHNJ,BEZPP,12,40,5.39,0,0,2006
728,Šmejkalová Iveta,,40,NEZ.DEMOKRATÉ(předs.V.Železný),NEZ/DEM,BEZPP,34,102,1.77,0,0,2006
729,Šrom Leoš Ing.,Ing.,32,VOLBA PRO MOST,NK,BEZPP,26,614,1.75,0,0,2006
730,Števicová Blanka,,56,SNK Evropští demokraté,SNK ED,BEZPP,22,997,2.36,20,0,2006
731,Štréblová Elena,,30,Strana zelených,SZ,BEZPP,38,776,1.93,0,0,2006
732,Šulc Jiří Ing.,Ing.,48,Občanská demokratická strana,ODS,ODS,2,4331,2.65,2,1,2006
733,Šulc Miroslav MUDr.,MUDr.,46,Sdružení pro sport a zdraví,SSZ,BEZPP,12,733,2.29,0,0,2006
734,Tancoš Josef,,39,Česká str.sociálně demokrat.,ČSSD,ČSSD,2,2432,2.5300000000000002,4,1,2006
735,Tomancová Eva Ing.,Ing.,37,Občanská demokratická strana,ODS,ODS,21,3743,2.29,11,0,2006
736,Tomko Michal,,38,Sdružení Mostečané Mostu,SOS,BEZPP,28,6134,2.2,10,0,2006
737,Tourková Markéta,,29,Strana zelených,SZ,BEZPP,37,809,2.02,0,0,2006
738,Traxmandl Jiří Ing.,Ing.,46,Sdružení pro sport a zdraví,SSZ,BEZPP,22,842,2.63,0,0,2006
739,Traxmandl Luděk Ing.,Ing.,48,Sdružení pro sport a zdraví,SSZ,SSZ,1,1229,3.84,0,0,2006
740,Trčka Miroslav Ing.,Ing.,58,Sdružení pro sport a zdraví,SSZ,BEZPP,45,495,1.54,0,0,2006
741,Třešňák Jan Ing.,Ing.,57,Sdružení pro sport a zdraví,SSZ,SSZ,11,708,2.21,0,0,2006
742,Turčan Tomáš,,32,Sdružení pro sport a zdraví,SSZ,SSZ,23,651,2.0300000000000002,0,0,2006
743,Urban Tomáš,,49,Strana zelených,SZ,SZ,19,842,2.1,0,0,2006
744,Urych Miloš Ing.,Ing.,67,VOLBA PRO MOST,NK,BEZPP,25,639,1.82,0,0,2006
745,Vacková Alice Mgr.,Mgr.,42,SNK Evropští demokraté,SNK ED,SNK ED,6,1040,2.46,10,0,2006
746,Vagaši Ján JUDr.,JUDr.,66,Komunistická str.Čech a Moravy,KSČM,KSČM,4,3087,2.38,4,1,2006
747,Vajshajtl Stanislav,,37,Sdružení Mostečané Mostu,NK,BEZPP,43,5762,2.06,25,0,2006
748,Valentová Lucie,,21,Česká str.sociálně demokrat.,ČSSD,ČSSD,26,2197,2.29,19,0,2006
749,Valvoda Bořek Ing.,Ing.,68,VOLBA PRO MOST,NK,BEZPP,3,1113,3.18,0,0,2006
750,Váňa Ivan Ing.,Ing.,64,Občanská demokratická strana,ODS,ODS,14,4428,2.71,1,1,2006
751,Vávra Jiří Ing.,Ing.,48,Sdružení Mostečané Mostu,NK,BEZPP,36,6038,2.16,18,0,2006
752,Venclíček Vratislav,,51,Sdružení pro sport a zdraví,SSZ,BEZPP,42,484,1.51,0,0,2006
753,Vlček Ludvík,,59,Komunistická str.Čech a Moravy,KSČM,KSČM,28,2797,2.16,20,0,2006
754,Vojtěch Zdeněk MUDr.,MUDr.,46,VOLBA PRO MOST,NK,BEZPP,22,830,2.37,0,0,2006
755,Volmut Jaroslav Ing.,Ing.,39,Občanská demokratická strana,ODS,ODS,29,3615,2.21,18,0,2006
756,Volný Josef,,48,České hnutí za národní jednotu,ČHNJ,BEZPP,11,58,7.8100000000000005,0,0,2006
757,Vomáčka Pavel Ing.,Ing.,47,Sdružení Mostečané Mostu,NK,BEZPP,21,6212,2.23,3,0,2006
758,Vozábová Klára,,19,Strana zelených,SZ,BEZPP,36,802,2.0,0,0,2006
759,Vozka Vlastimil Ing.,Ing.,52,Sdružení Mostečané Mostu,NK,BEZPP,1,6786,2.43,2,1,2006
760,Vreštiaková Marta,,59,SNK Evropští demokraté,SNK ED,BEZPP,20,1008,2.39,18,0,2006
761,Vykouk Jiří,,57,Sdružení Mostečané Mostu,NK,BEZPP,8,6349,2.2800000000000002,8,1,2006
762,Watzlová Dagmar,,53,Česká str.sociálně demokrat.,ČSSD,ČSSD,33,2162,2.25,25,0,2006
763,Weiss Adam,,19,SNK Evropští demokraté,SNK ED,BEZPP,45,774,1.83,41,0,2006
